dt;weekday;holiday
978307200;monday;Confraternização Universal
983145600;monday;Carnaval
983232000;tuesday;Carnaval
987120000;friday;Paixão de Cristo
987811200;saturday;Tiradentes
988675200;tuesday;Dia do Trabalho
992476800;thursday;Corpus Christi
999820800;friday;Independência do Brasil
1002844800;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
1004659200;friday;Finados
1005782400;thursday;Proclamação da República
1009238400;tuesday;Natal
1009843200;tuesday;Confraternização Universal
1013385600;monday;Carnaval
1013472000;tuesday;Carnaval
1017360000;friday;Paixão de Cristo
1019347200;sunday;Tiradentes
1020211200;wednesday;Dia do Trabalho
1022716800;thursday;Corpus Christi
1031356800;saturday;Independência do Brasil
1034380800;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
1036195200;saturday;Finados
1037318400;friday;Proclamação da República
1040774400;wednesday;Natal
1041379200;wednesday;Confraternização Universal
1046649600;monday;Carnaval
1046736000;tuesday;Carnaval
1050624000;friday;Paixão de Cristo
1050883200;monday;Tiradentes
1051747200;thursday;Dia do Trabalho
1055980800;thursday;Corpus Christi
1062892800;sunday;Independência do Brasil
1065916800;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
1067731200;sunday;Finados
1068854400;saturday;Proclamação da República
1072310400;thursday;Natal
1072915200;thursday;Confraternização Universal
1077494400;monday;Carnaval
1077580800;tuesday;Carnaval
1081468800;friday;Paixão de Cristo
1082505600;wednesday;Tiradentes
1083369600;saturday;Dia do Trabalho
1086825600;thursday;Corpus Christi
1094515200;tuesday;Independência do Brasil
1097539200;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1099353600;tuesday;Finados
1100476800;monday;Proclamação da República
1103932800;saturday;Natal
1104537600;saturday;Confraternização Universal
1107734400;monday;Carnaval
1107820800;tuesday;Carnaval
1111708800;friday;Paixão de Cristo
1114041600;thursday;Tiradentes
1114905600;sunday;Dia do Trabalho
1117065600;thursday;Corpus Christi
1126051200;wednesday;Independência do Brasil
1129075200;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1130889600;wednesday;Finados
1132012800;tuesday;Proclamação da República
1135468800;sunday;Natal
1136073600;sunday;Confraternização Universal
1140998400;monday;Carnaval
1141084800;tuesday;Carnaval
1144972800;friday;Paixão de Cristo
1145577600;friday;Tiradentes
1146441600;monday;Dia do Trabalho
1150329600;thursday;Corpus Christi
1157587200;thursday;Independência do Brasil
1160611200;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
1162425600;thursday;Finados
1163548800;wednesday;Proclamação da República
1167004800;monday;Natal
1167609600;monday;Confraternização Universal
1171843200;monday;Carnaval
1171929600;tuesday;Carnaval
1175817600;friday;Paixão de Cristo
1177113600;saturday;Tiradentes
1177977600;tuesday;Dia do Trabalho
1181174400;thursday;Corpus Christi
1189123200;friday;Independência do Brasil
1192147200;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
1193961600;friday;Finados
1195084800;thursday;Proclamação da República
1198540800;tuesday;Natal
1199145600;tuesday;Confraternização Universal
1202083200;monday;Carnaval
1202169600;tuesday;Carnaval
1206057600;friday;Paixão de Cristo
1208736000;monday;Tiradentes
1209600000;thursday;Dia do Trabalho
1211414400;thursday;Corpus Christi
1220745600;sunday;Independência do Brasil
1223769600;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
1225584000;sunday;Finados
1226707200;saturday;Proclamação da República
1230163200;thursday;Natal
1230768000;thursday;Confraternização Universal
1235347200;monday;Carnaval
1235433600;tuesday;Carnaval
1239321600;friday;Paixão de Cristo
1240272000;tuesday;Tiradentes
1241136000;friday;Dia do Trabalho
1244678400;thursday;Corpus Christi
1252281600;monday;Independência do Brasil
1255305600;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
1257120000;monday;Finados
1258243200;sunday;Proclamação da República
1261699200;friday;Natal
1262304000;friday;Confraternização Universal
1266192000;monday;Carnaval
1266278400;tuesday;Carnaval
1270166400;friday;Paixão de Cristo
1271808000;wednesday;Tiradentes
1272672000;saturday;Dia do Trabalho
1275523200;thursday;Corpus Christi
1283817600;tuesday;Independência do Brasil
1286841600;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1288656000;tuesday;Finados
1289779200;monday;Proclamação da República
1293235200;saturday;Natal
1293840000;saturday;Confraternização Universal
1299456000;monday;Carnaval
1299542400;tuesday;Carnaval
1303344000;thursday;Tiradentes
1303430400;friday;Paixão de Cristo
1304208000;sunday;Dia do Trabalho
1308787200;thursday;Corpus Christi
1315353600;wednesday;Independência do Brasil
1318377600;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1320192000;wednesday;Finados
1321315200;tuesday;Proclamação da República
1324771200;sunday;Natal
1325376000;sunday;Confraternização Universal
1329696000;monday;Carnaval
1329782400;tuesday;Carnaval
1333670400;friday;Paixão de Cristo
1334966400;saturday;Tiradentes
1335830400;tuesday;Dia do Trabalho
1339027200;thursday;Corpus Christi
1346976000;friday;Independência do Brasil
1350000000;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
1351814400;friday;Finados
1352937600;thursday;Proclamação da República
1356393600;tuesday;Natal
1356998400;tuesday;Confraternização Universal
1360540800;monday;Carnaval
1360627200;tuesday;Carnaval
1364515200;friday;Paixão de Cristo
1366502400;sunday;Tiradentes
1367366400;wednesday;Dia do Trabalho
1369872000;thursday;Corpus Christi
1378512000;saturday;Independência do Brasil
1381536000;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
1383350400;saturday;Finados
1384473600;friday;Proclamação da República
1387929600;wednesday;Natal
1388534400;wednesday;Confraternização Universal
1393804800;monday;Carnaval
1393891200;tuesday;Carnaval
1397779200;friday;Paixão de Cristo
1398038400;monday;Tiradentes
1398902400;thursday;Dia do Trabalho
1403136000;thursday;Corpus Christi
1410048000;sunday;Independência do Brasil
1413072000;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
1414886400;sunday;Finados
1416009600;saturday;Proclamação da República
1419465600;thursday;Natal
1420070400;thursday;Confraternização Universal
1424044800;monday;Carnaval
1424131200;tuesday;Carnaval
1428019200;friday;Paixão de Cristo
1429574400;tuesday;Tiradentes
1430438400;friday;Dia do Trabalho
1433376000;thursday;Corpus Christi
1441584000;monday;Independência do Brasil
1444608000;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
1446422400;monday;Finados
1447545600;sunday;Proclamação da República
1451001600;friday;Natal
1451606400;friday;Confraternização Universal
1454889600;monday;Carnaval
1454976000;tuesday;Carnaval
1458864000;friday;Paixão de Cristo
1461196800;thursday;Tiradentes
1462060800;sunday;Dia do Trabalho
1464220800;thursday;Corpus Christi
1473206400;wednesday;Independência do Brasil
1476230400;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1478044800;wednesday;Finados
1479168000;tuesday;Proclamação da República
1482624000;sunday;Natal
1483228800;sunday;Confraternização Universal
1488153600;monday;Carnaval
1488240000;tuesday;Carnaval
1492128000;friday;Paixão de Cristo
1492732800;friday;Tiradentes
1493596800;monday;Dia do Trabalho
1497484800;thursday;Corpus Christi
1504742400;thursday;Independência do Brasil
1507766400;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
1509580800;thursday;Finados
1510704000;wednesday;Proclamação da República
1514160000;monday;Natal
1514764800;monday;Confraternização Universal
1518393600;monday;Carnaval
1518480000;tuesday;Carnaval
1522368000;friday;Paixão de Cristo
1524268800;saturday;Tiradentes
1525132800;tuesday;Dia do Trabalho
1527724800;thursday;Corpus Christi
1536278400;friday;Independência do Brasil
1539302400;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
1541116800;friday;Finados
1542240000;thursday;Proclamação da República
1545696000;tuesday;Natal
1546300800;tuesday;Confraternização Universal
1551657600;monday;Carnaval
1551744000;tuesday;Carnaval
1555632000;friday;Paixão de Cristo
1555804800;sunday;Tiradentes
1556668800;wednesday;Dia do Trabalho
1560988800;thursday;Corpus Christi
1567814400;saturday;Independência do Brasil
1570838400;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
1572652800;saturday;Finados
1573776000;friday;Proclamação da República
1577232000;wednesday;Natal
1577836800;wednesday;Confraternização Universal
1582502400;monday;Carnaval
1582588800;tuesday;Carnaval
1586476800;friday;Paixão de Cristo
1587427200;tuesday;Tiradentes
1588291200;friday;Dia do Trabalho
1591833600;thursday;Corpus Christi
1599436800;monday;Independência do Brasil
1602460800;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
1604275200;monday;Finados
1605398400;sunday;Proclamação da República
1608854400;friday;Natal
1609459200;friday;Confraternização Universal
1613347200;monday;Carnaval
1613433600;tuesday;Carnaval
1617321600;friday;Paixão de Cristo
1618963200;wednesday;Tiradentes
1619827200;saturday;Dia do Trabalho
1622678400;thursday;Corpus Christi
1630972800;tuesday;Independência do Brasil
1633996800;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1635811200;tuesday;Finados
1636934400;monday;Proclamação da República
1640390400;saturday;Natal
1640995200;saturday;Confraternização Universal
1646006400;monday;Carnaval
1646092800;tuesday;Carnaval
1649980800;friday;Paixão de Cristo
1650499200;thursday;Tiradentes
1651363200;sunday;Dia do Trabalho
1655337600;thursday;Corpus Christi
1662508800;wednesday;Independência do Brasil
1665532800;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1667347200;wednesday;Finados
1668470400;tuesday;Proclamação da República
1671926400;sunday;Natal
1672531200;sunday;Confraternização Universal
1676851200;monday;Carnaval
1676937600;tuesday;Carnaval
1680825600;friday;Paixão de Cristo
1682035200;friday;Tiradentes
1682899200;monday;Dia do Trabalho
1686182400;thursday;Corpus Christi
1694044800;thursday;Independência do Brasil
1697068800;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
1698883200;thursday;Finados
1700006400;wednesday;Proclamação da República
1703462400;monday;Natal
1704067200;monday;Confraternização Universal
1707696000;monday;Carnaval
1707782400;tuesday;Carnaval
1711670400;friday;Paixão de Cristo
1713657600;sunday;Tiradentes
1714521600;wednesday;Dia do Trabalho
1717027200;thursday;Corpus Christi
1725667200;saturday;Independência do Brasil
1728691200;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
1730505600;saturday;Finados
1731628800;friday;Proclamação da República
1732060800;wednesday;Dia Nacional de Zumbi e da Consciência Negra
1735084800;wednesday;Natal
1735689600;wednesday;Confraternização Universal
1740960000;monday;Carnaval
1741046400;tuesday;Carnaval
1744934400;friday;Paixão de Cristo
1745193600;monday;Tiradentes
1746057600;thursday;Dia do Trabalho
1750291200;thursday;Corpus Christi
1757203200;sunday;Independência do Brasil
1760227200;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
1762041600;sunday;Finados
1763164800;saturday;Proclamação da República
1763596800;thursday;Dia Nacional de Zumbi e da Consciência Negra
1766620800;thursday;Natal
1767225600;thursday;Confraternização Universal
1771200000;monday;Carnaval
1771286400;tuesday;Carnaval
1775174400;friday;Paixão de Cristo
1776729600;tuesday;Tiradentes
1777593600;friday;Dia do Trabalho
1780531200;thursday;Corpus Christi
1788739200;monday;Independência do Brasil
1791763200;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
1793577600;monday;Finados
1794700800;sunday;Proclamação da República
1795132800;friday;Dia Nacional de Zumbi e da Consciência Negra
1798156800;friday;Natal
1798761600;friday;Confraternização Universal
1802044800;monday;Carnaval
1802131200;tuesday;Carnaval
1806019200;friday;Paixão de Cristo
1808265600;wednesday;Tiradentes
1809129600;saturday;Dia do Trabalho
1811376000;thursday;Corpus Christi
1820275200;tuesday;Independência do Brasil
1823299200;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1825113600;tuesday;Finados
1826236800;monday;Proclamação da República
1826668800;saturday;Dia Nacional de Zumbi e da Consciência Negra
1829692800;saturday;Natal
1830297600;saturday;Confraternização Universal
1835308800;monday;Carnaval
1835395200;tuesday;Carnaval
1839283200;friday;Paixão de Cristo
1839888000;friday;Tiradentes
1840752000;monday;Dia do Trabalho
1844640000;thursday;Corpus Christi
1851897600;thursday;Independência do Brasil
1854921600;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
1856736000;thursday;Finados
1857859200;wednesday;Proclamação da República
1858291200;monday;Dia Nacional de Zumbi e da Consciência Negra
1861315200;monday;Natal
1861920000;monday;Confraternização Universal
1865548800;monday;Carnaval
1865635200;tuesday;Carnaval
1869523200;friday;Paixão de Cristo
1871424000;saturday;Tiradentes
1872288000;tuesday;Dia do Trabalho
1874880000;thursday;Corpus Christi
1883433600;friday;Independência do Brasil
1886457600;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
1888272000;friday;Finados
1889395200;thursday;Proclamação da República
1889827200;tuesday;Dia Nacional de Zumbi e da Consciência Negra
1892851200;tuesday;Natal
1893456000;tuesday;Confraternização Universal
1898812800;monday;Carnaval
1898899200;tuesday;Carnaval
1902787200;friday;Paixão de Cristo
1902960000;sunday;Tiradentes
1903824000;wednesday;Dia do Trabalho
1908144000;thursday;Corpus Christi
1914969600;saturday;Independência do Brasil
1917993600;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
1919808000;saturday;Finados
1920931200;friday;Proclamação da República
1921363200;wednesday;Dia Nacional de Zumbi e da Consciência Negra
1924387200;wednesday;Natal
1924992000;wednesday;Confraternização Universal
1929657600;monday;Carnaval
1929744000;tuesday;Carnaval
1933632000;friday;Paixão de Cristo
1934496000;monday;Tiradentes
1935360000;thursday;Dia do Trabalho
1938988800;thursday;Corpus Christi
1946505600;sunday;Independência do Brasil
1949529600;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
1951344000;sunday;Finados
1952467200;saturday;Proclamação da República
1952899200;thursday;Dia Nacional de Zumbi e da Consciência Negra
1955923200;thursday;Natal
1956528000;thursday;Confraternização Universal
1959897600;monday;Carnaval
1959984000;tuesday;Carnaval
1963872000;friday;Paixão de Cristo
1966118400;wednesday;Tiradentes
1966982400;saturday;Dia do Trabalho
1969228800;thursday;Corpus Christi
1978128000;tuesday;Independência do Brasil
1981152000;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1982966400;tuesday;Finados
1984089600;monday;Proclamação da República
1984521600;saturday;Dia Nacional de Zumbi e da Consciência Negra
1987545600;saturday;Natal
1988150400;saturday;Confraternização Universal
1993161600;monday;Carnaval
1993248000;tuesday;Carnaval
1997136000;friday;Paixão de Cristo
1997654400;thursday;Tiradentes
1998518400;sunday;Dia do Trabalho
2002492800;thursday;Corpus Christi
2009664000;wednesday;Independência do Brasil
2012688000;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2014502400;wednesday;Finados
2015625600;tuesday;Proclamação da República
2016057600;sunday;Dia Nacional de Zumbi e da Consciência Negra
2019081600;sunday;Natal
2019686400;sunday;Confraternização Universal
2024006400;monday;Carnaval
2024092800;tuesday;Carnaval
2027980800;friday;Paixão de Cristo
2029190400;friday;Tiradentes
2030054400;monday;Dia do Trabalho
2033337600;thursday;Corpus Christi
2041200000;thursday;Independência do Brasil
2044224000;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2046038400;thursday;Finados
2047161600;wednesday;Proclamação da República
2047593600;monday;Dia Nacional de Zumbi e da Consciência Negra
2050617600;monday;Natal
2051222400;monday;Confraternização Universal
2054246400;monday;Carnaval
2054332800;tuesday;Carnaval
2058220800;friday;Paixão de Cristo
2060726400;saturday;Tiradentes
2061590400;tuesday;Dia do Trabalho
2063577600;thursday;Corpus Christi
2072736000;friday;Independência do Brasil
2075760000;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2077574400;friday;Finados
2078697600;thursday;Proclamação da República
2079129600;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2082153600;tuesday;Natal
2082758400;tuesday;Confraternização Universal
2087510400;monday;Carnaval
2087596800;tuesday;Carnaval
2091484800;friday;Paixão de Cristo
2092348800;monday;Tiradentes
2093212800;thursday;Dia do Trabalho
2096841600;thursday;Corpus Christi
2104358400;sunday;Independência do Brasil
2107382400;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2109196800;sunday;Finados
2110320000;saturday;Proclamação da República
2110752000;thursday;Dia Nacional de Zumbi e da Consciência Negra
2113776000;thursday;Natal
2114380800;thursday;Confraternização Universal
2118355200;monday;Carnaval
2118441600;tuesday;Carnaval
2122329600;friday;Paixão de Cristo
2123884800;tuesday;Tiradentes
2124748800;friday;Dia do Trabalho
2127686400;thursday;Corpus Christi
2135894400;monday;Independência do Brasil
2138918400;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2140732800;monday;Finados
2141856000;sunday;Proclamação da República
2142288000;friday;Dia Nacional de Zumbi e da Consciência Negra
2145312000;friday;Natal
2145916800;friday;Confraternização Universal
2151619200;monday;Carnaval
2151705600;tuesday;Carnaval
2155420800;wednesday;Tiradentes
2155593600;friday;Paixão de Cristo
2156284800;saturday;Dia do Trabalho
2160950400;thursday;Corpus Christi
2167430400;tuesday;Independência do Brasil
2170454400;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2172268800;tuesday;Finados
2173392000;monday;Proclamação da República
2173824000;saturday;Dia Nacional de Zumbi e da Consciência Negra
2176848000;saturday;Natal
2177452800;saturday;Confraternização Universal
2181859200;monday;Carnaval
2181945600;tuesday;Carnaval
2185833600;friday;Paixão de Cristo
2186956800;thursday;Tiradentes
2187820800;sunday;Dia do Trabalho
2191190400;thursday;Corpus Christi
2198966400;wednesday;Independência do Brasil
2201990400;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2203804800;wednesday;Finados
2204928000;tuesday;Proclamação da República
2205360000;sunday;Dia Nacional de Zumbi e da Consciência Negra
2208384000;sunday;Natal
2208988800;sunday;Confraternização Universal
2212704000;monday;Carnaval
2212790400;tuesday;Carnaval
2216678400;friday;Paixão de Cristo
2218579200;saturday;Tiradentes
2219443200;tuesday;Dia do Trabalho
2222035200;thursday;Corpus Christi
2230588800;friday;Independência do Brasil
2233612800;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2235427200;friday;Finados
2236550400;thursday;Proclamação da República
2236982400;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2240006400;tuesday;Natal
2240611200;tuesday;Confraternização Universal
2245968000;monday;Carnaval
2246054400;tuesday;Carnaval
2249942400;friday;Paixão de Cristo
2250115200;sunday;Tiradentes
2250979200;wednesday;Dia do Trabalho
2255299200;thursday;Corpus Christi
2262124800;saturday;Independência do Brasil
2265148800;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2266963200;saturday;Finados
2268086400;friday;Proclamação da República
2268518400;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2271542400;wednesday;Natal
2272147200;wednesday;Confraternização Universal
2276208000;monday;Carnaval
2276294400;tuesday;Carnaval
2280182400;friday;Paixão de Cristo
2281651200;monday;Tiradentes
2282515200;thursday;Dia do Trabalho
2285539200;thursday;Corpus Christi
2293660800;sunday;Independência do Brasil
2296684800;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2298499200;sunday;Finados
2299622400;saturday;Proclamação da República
2300054400;thursday;Dia Nacional de Zumbi e da Consciência Negra
2303078400;thursday;Natal
2303683200;thursday;Confraternização Universal
2307052800;monday;Carnaval
2307139200;tuesday;Carnaval
2311027200;friday;Paixão de Cristo
2313187200;tuesday;Tiradentes
2314051200;friday;Dia do Trabalho
2316384000;thursday;Corpus Christi
2325196800;monday;Independência do Brasil
2328220800;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2330035200;monday;Finados
2331158400;sunday;Proclamação da República
2331590400;friday;Dia Nacional de Zumbi e da Consciência Negra
2334614400;friday;Natal
2335219200;friday;Confraternização Universal
2340316800;monday;Carnaval
2340403200;tuesday;Carnaval
2344291200;friday;Paixão de Cristo
2344809600;thursday;Tiradentes
2345673600;sunday;Dia do Trabalho
2349648000;thursday;Corpus Christi
2356819200;wednesday;Independência do Brasil
2359843200;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2361657600;wednesday;Finados
2362780800;tuesday;Proclamação da República
2363212800;sunday;Dia Nacional de Zumbi e da Consciência Negra
2366236800;sunday;Natal
2366841600;sunday;Confraternização Universal
2371161600;monday;Carnaval
2371248000;tuesday;Carnaval
2375136000;friday;Paixão de Cristo
2376345600;friday;Tiradentes
2377209600;monday;Dia do Trabalho
2380492800;thursday;Corpus Christi
2388355200;thursday;Independência do Brasil
2391379200;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2393193600;thursday;Finados
2394316800;wednesday;Proclamação da República
2394748800;monday;Dia Nacional de Zumbi e da Consciência Negra
2397772800;monday;Natal
2398377600;monday;Confraternização Universal
2401401600;monday;Carnaval
2401488000;tuesday;Carnaval
2405376000;friday;Paixão de Cristo
2407881600;saturday;Tiradentes
2408745600;tuesday;Dia do Trabalho
2410732800;thursday;Corpus Christi
2419891200;friday;Independência do Brasil
2422915200;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2424729600;friday;Finados
2425852800;thursday;Proclamação da República
2426284800;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2429308800;tuesday;Natal
2429913600;tuesday;Confraternização Universal
2434665600;monday;Carnaval
2434752000;tuesday;Carnaval
2438640000;friday;Paixão de Cristo
2439417600;sunday;Tiradentes
2440281600;wednesday;Dia do Trabalho
2443996800;thursday;Corpus Christi
2451427200;saturday;Independência do Brasil
2454451200;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2456265600;saturday;Finados
2457388800;friday;Proclamação da República
2457820800;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2460844800;wednesday;Natal
2461449600;wednesday;Confraternização Universal
2465510400;monday;Carnaval
2465596800;tuesday;Carnaval
2469484800;friday;Paixão de Cristo
2471040000;tuesday;Tiradentes
2471904000;friday;Dia do Trabalho
2474841600;thursday;Corpus Christi
2483049600;monday;Independência do Brasil
2486073600;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2487888000;monday;Finados
2489011200;sunday;Proclamação da República
2489443200;friday;Dia Nacional de Zumbi e da Consciência Negra
2492467200;friday;Natal
2493072000;friday;Confraternização Universal
2498169600;monday;Carnaval
2498256000;tuesday;Carnaval
2502144000;friday;Paixão de Cristo
2502576000;wednesday;Tiradentes
2503440000;saturday;Dia do Trabalho
2507500800;thursday;Corpus Christi
2514585600;tuesday;Independência do Brasil
2517609600;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2519424000;tuesday;Finados
2520547200;monday;Proclamação da República
2520979200;saturday;Dia Nacional de Zumbi e da Consciência Negra
2524003200;saturday;Natal
2524608000;saturday;Confraternização Universal
2529014400;monday;Carnaval
2529100800;tuesday;Carnaval
2532988800;friday;Paixão de Cristo
2534112000;thursday;Tiradentes
2534976000;sunday;Dia do Trabalho
2538345600;thursday;Corpus Christi
2546121600;wednesday;Independência do Brasil
2549145600;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2550960000;wednesday;Finados
2552083200;tuesday;Proclamação da República
2552515200;sunday;Dia Nacional de Zumbi e da Consciência Negra
2555539200;sunday;Natal
2556144000;sunday;Confraternização Universal
2559859200;monday;Carnaval
2559945600;tuesday;Carnaval
2563833600;friday;Paixão de Cristo
2565648000;friday;Tiradentes
2566512000;monday;Dia do Trabalho
2569190400;thursday;Corpus Christi
2577657600;thursday;Independência do Brasil
2580681600;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2582496000;thursday;Finados
2583619200;wednesday;Proclamação da República
