dt;dia_semana;feriado
2584051200;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
2587075200;segunda-feira;Natal
2587680000;segunda-feira;Confraternização Universal
2593123200;segunda-feira;Carnaval
2593209600;terça-feira;Carnaval
2597097600;sexta-feira;Paixão de Cristo
2597270400;domingo;Tiradentes
2598134400;quarta-feira;Dia do Trabalho
2602454400;quinta-feira;Corpus Christi
2609280000;sábado;Independência do Brasil
2612304000;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
2614118400;sábado;Finados
2615241600;sexta-feira;Proclamação da República
2615673600;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
2618697600;quarta-feira;Natal
2619302400;quarta-feira;Confraternização Universal
2623363200;segunda-feira;Carnaval
2623449600;terça-feira;Carnaval
2627337600;sexta-feira;Paixão de Cristo
2628806400;segunda-feira;Tiradentes
2629670400;quinta-feira;Dia do Trabalho
2632694400;quinta-feira;Corpus Christi
2640816000;domingo;Independência do Brasil
2643840000;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
2645654400;domingo;Finados
2646777600;sábado;Proclamação da República
2647209600;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
2650233600;quinta-feira;Natal
2650838400;quinta-feira;Confraternização Universal
2654208000;segunda-feira;Carnaval
2654294400;terça-feira;Carnaval
2658182400;sexta-feira;Paixão de Cristo
2660342400;terça-feira;Tiradentes
2661206400;sexta-feira;Dia do Trabalho
2663539200;quinta-feira;Corpus Christi
2672352000;segunda-feira;Independência do Brasil
2675376000;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2677190400;segunda-feira;Finados
2678313600;domingo;Proclamação da República
2678745600;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
2681769600;sexta-feira;Natal
2682374400;sexta-feira;Confraternização Universal
2687472000;segunda-feira;Carnaval
2687558400;terça-feira;Carnaval
2691446400;sexta-feira;Paixão de Cristo
2691878400;quarta-feira;Tiradentes
2692742400;sábado;Dia do Trabalho
2696803200;quinta-feira;Corpus Christi
2703888000;terça-feira;Independência do Brasil
2706912000;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2708726400;terça-feira;Finados
2709849600;segunda-feira;Proclamação da República
2710281600;sábado;Dia Nacional de Zumbi e da Consciência Negra
2713305600;sábado;Natal
2713910400;sábado;Confraternização Universal
2717712000;segunda-feira;Carnaval
2717798400;terça-feira;Carnaval
2721686400;sexta-feira;Paixão de Cristo
2723500800;sexta-feira;Tiradentes
2724364800;segunda-feira;Dia do Trabalho
2727043200;quinta-feira;Corpus Christi
2735510400;quinta-feira;Independência do Brasil
2738534400;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2740348800;quinta-feira;Finados
2741472000;quarta-feira;Proclamação da República
2741904000;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
2744928000;segunda-feira;Natal
2745532800;segunda-feira;Confraternização Universal
2750976000;segunda-feira;Carnaval
2751062400;terça-feira;Carnaval
2754950400;sexta-feira;Paixão de Cristo
2755036800;sábado;Tiradentes
2755900800;terça-feira;Dia do Trabalho
2760307200;quinta-feira;Corpus Christi
2767046400;sexta-feira;Independência do Brasil
2770070400;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2771884800;sexta-feira;Finados
2773008000;quinta-feira;Proclamação da República
2773440000;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
2776464000;terça-feira;Natal
2777068800;terça-feira;Confraternização Universal
2781820800;segunda-feira;Carnaval
2781907200;terça-feira;Carnaval
2785795200;sexta-feira;Paixão de Cristo
2786572800;domingo;Tiradentes
2787436800;quarta-feira;Dia do Trabalho
2791152000;quinta-feira;Corpus Christi
2798582400;sábado;Independência do Brasil
2801606400;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
2803420800;sábado;Finados
2804544000;sexta-feira;Proclamação da República
2804976000;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
2808000000;quarta-feira;Natal
2808604800;quarta-feira;Confraternização Universal
2812060800;segunda-feira;Carnaval
2812147200;terça-feira;Carnaval
2816035200;sexta-feira;Paixão de Cristo
2818108800;segunda-feira;Tiradentes
2818972800;quinta-feira;Dia do Trabalho
2821392000;quinta-feira;Corpus Christi
2830118400;domingo;Independência do Brasil
2833142400;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
2834956800;domingo;Finados
2836080000;sábado;Proclamação da República
2836512000;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
2839536000;quinta-feira;Natal
2840140800;quinta-feira;Confraternização Universal
2845324800;segunda-feira;Carnaval
2845411200;terça-feira;Carnaval
2849299200;sexta-feira;Paixão de Cristo
2849731200;quarta-feira;Tiradentes
2850595200;sábado;Dia do Trabalho
2854656000;quinta-feira;Corpus Christi
2861740800;terça-feira;Independência do Brasil
2864764800;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2866579200;terça-feira;Finados
2867702400;segunda-feira;Proclamação da República
2868134400;sábado;Dia Nacional de Zumbi e da Consciência Negra
2871158400;sábado;Natal
2871763200;sábado;Confraternização Universal
2876169600;segunda-feira;Carnaval
2876256000;terça-feira;Carnaval
2880144000;sexta-feira;Paixão de Cristo
2881267200;quinta-feira;Tiradentes
2882131200;domingo;Dia do Trabalho
2885500800;quinta-feira;Corpus Christi
2893276800;quarta-feira;Independência do Brasil
2896300800;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2898115200;quarta-feira;Finados
2899238400;terça-feira;Proclamação da República
2899670400;domingo;Dia Nacional de Zumbi e da Consciência Negra
2902694400;domingo;Natal
2903299200;domingo;Confraternização Universal
2906409600;segunda-feira;Carnaval
2906496000;terça-feira;Carnaval
2910384000;sexta-feira;Paixão de Cristo
2912803200;sexta-feira;Tiradentes
2913667200;segunda-feira;Dia do Trabalho
2915740800;quinta-feira;Corpus Christi
2924812800;quinta-feira;Independência do Brasil
2927836800;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2929651200;quinta-feira;Finados
2930774400;quarta-feira;Proclamação da República
2931206400;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
2934230400;segunda-feira;Natal
2934835200;segunda-feira;Confraternização Universal
2939673600;segunda-feira;Carnaval
2939760000;terça-feira;Carnaval
2943648000;sexta-feira;Paixão de Cristo
2944339200;sábado;Tiradentes
2945203200;terça-feira;Dia do Trabalho
2949004800;quinta-feira;Corpus Christi
2956348800;sexta-feira;Independência do Brasil
2959372800;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2961187200;sexta-feira;Finados
2962310400;quinta-feira;Proclamação da República
2962742400;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
2965766400;terça-feira;Natal
2966371200;terça-feira;Confraternização Universal
2970518400;segunda-feira;Carnaval
2970604800;terça-feira;Carnaval
2974492800;sexta-feira;Paixão de Cristo
2975961600;segunda-feira;Tiradentes
2976825600;quinta-feira;Dia do Trabalho
2979849600;quinta-feira;Corpus Christi
2987971200;domingo;Independência do Brasil
2990995200;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
2992809600;domingo;Finados
2993932800;sábado;Proclamação da República
2994364800;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
2997388800;quinta-feira;Natal
2997993600;quinta-feira;Confraternização Universal
3001363200;segunda-feira;Carnaval
3001449600;terça-feira;Carnaval
3005337600;sexta-feira;Paixão de Cristo
3007497600;terça-feira;Tiradentes
3008361600;sexta-feira;Dia do Trabalho
3010694400;quinta-feira;Corpus Christi
3019507200;segunda-feira;Independência do Brasil
3022531200;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3024345600;segunda-feira;Finados
3025468800;domingo;Proclamação da República
3025900800;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
3028924800;sexta-feira;Natal
3029529600;sexta-feira;Confraternização Universal
3034022400;segunda-feira;Carnaval
3034108800;terça-feira;Carnaval
3037996800;sexta-feira;Paixão de Cristo
3039033600;quarta-feira;Tiradentes
3039897600;sábado;Dia do Trabalho
3043353600;quinta-feira;Corpus Christi
3051043200;terça-feira;Independência do Brasil
3054067200;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3055881600;terça-feira;Finados
3057004800;segunda-feira;Proclamação da República
3057436800;sábado;Dia Nacional de Zumbi e da Consciência Negra
3060460800;sábado;Natal
3061065600;sábado;Confraternização Universal
3064867200;segunda-feira;Carnaval
3064953600;terça-feira;Carnaval
3068841600;sexta-feira;Paixão de Cristo
3070569600;quinta-feira;Tiradentes
3071433600;domingo;Dia do Trabalho
3074198400;quinta-feira;Corpus Christi
3082579200;quarta-feira;Independência do Brasil
3085603200;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3087417600;quarta-feira;Finados
3088540800;terça-feira;Proclamação da República
3088972800;domingo;Dia Nacional de Zumbi e da Consciência Negra
3091996800;domingo;Natal
3092601600;domingo;Confraternização Universal
3098131200;segunda-feira;Carnaval
3098217600;terça-feira;Carnaval
3102105600;sexta-feira;Paixão de Cristo
3102192000;sábado;Tiradentes
3103056000;terça-feira;Dia do Trabalho
3107462400;quinta-feira;Corpus Christi
3114201600;sexta-feira;Independência do Brasil
3117225600;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3119040000;sexta-feira;Finados
3120163200;quinta-feira;Proclamação da República
3120595200;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
3123619200;terça-feira;Natal
3124224000;terça-feira;Confraternização Universal
3128976000;segunda-feira;Carnaval
3129062400;terça-feira;Carnaval
3132950400;sexta-feira;Paixão de Cristo
3133728000;domingo;Tiradentes
3134592000;quarta-feira;Dia do Trabalho
3138307200;quinta-feira;Corpus Christi
3145737600;sábado;Independência do Brasil
3148761600;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
3150576000;sábado;Finados
3151699200;sexta-feira;Proclamação da República
3152131200;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
3155155200;quarta-feira;Natal
3155760000;quarta-feira;Confraternização Universal
3159216000;segunda-feira;Carnaval
3159302400;terça-feira;Carnaval
3163190400;sexta-feira;Paixão de Cristo
3165264000;segunda-feira;Tiradentes
3166128000;quinta-feira;Dia do Trabalho
3168547200;quinta-feira;Corpus Christi
3177273600;domingo;Independência do Brasil
3180297600;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
3182112000;domingo;Finados
3183235200;sábado;Proclamação da República
3183667200;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
3186691200;quinta-feira;Natal
3187296000;quinta-feira;Confraternização Universal
3192480000;segunda-feira;Carnaval
3192566400;terça-feira;Carnaval
3196454400;sexta-feira;Paixão de Cristo
3196800000;terça-feira;Tiradentes
3197664000;sexta-feira;Dia do Trabalho
3201811200;quinta-feira;Corpus Christi
3208809600;segunda-feira;Independência do Brasil
3211833600;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3213648000;segunda-feira;Finados
3214771200;domingo;Proclamação da República
3215203200;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
3218227200;sexta-feira;Natal
3218832000;sexta-feira;Confraternização Universal
3223324800;segunda-feira;Carnaval
3223411200;terça-feira;Carnaval
3227299200;sexta-feira;Paixão de Cristo
3228422400;quinta-feira;Tiradentes
3229286400;domingo;Dia do Trabalho
3232656000;quinta-feira;Corpus Christi
3240432000;quarta-feira;Independência do Brasil
3243456000;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3245270400;quarta-feira;Finados
3246393600;terça-feira;Proclamação da República
3246825600;domingo;Dia Nacional de Zumbi e da Consciência Negra
3249849600;domingo;Natal
3250454400;domingo;Confraternização Universal
3253564800;segunda-feira;Carnaval
3253651200;terça-feira;Carnaval
3257539200;sexta-feira;Paixão de Cristo
3259958400;sexta-feira;Tiradentes
3260822400;segunda-feira;Dia do Trabalho
3262896000;quinta-feira;Corpus Christi
3271968000;quinta-feira;Independência do Brasil
3274992000;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3276806400;quinta-feira;Finados
3277929600;quarta-feira;Proclamação da República
3278361600;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
3281385600;segunda-feira;Natal
3281990400;segunda-feira;Confraternização Universal
3286828800;segunda-feira;Carnaval
3286915200;terça-feira;Carnaval
3290803200;sexta-feira;Paixão de Cristo
3291494400;sábado;Tiradentes
3292358400;terça-feira;Dia do Trabalho
3296160000;quinta-feira;Corpus Christi
3303504000;sexta-feira;Independência do Brasil
3306528000;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3308342400;sexta-feira;Finados
3309465600;quinta-feira;Proclamação da República
3309897600;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
3312921600;terça-feira;Natal
3313526400;terça-feira;Confraternização Universal
3317673600;segunda-feira;Carnaval
3317760000;terça-feira;Carnaval
3321648000;sexta-feira;Paixão de Cristo
3323030400;domingo;Tiradentes
3323894400;quarta-feira;Dia do Trabalho
3327004800;quinta-feira;Corpus Christi
3335040000;sábado;Independência do Brasil
3338064000;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
3339878400;sábado;Finados
3341001600;sexta-feira;Proclamação da República
3341433600;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
3344457600;quarta-feira;Natal
3345062400;quarta-feira;Confraternização Universal
3350332800;segunda-feira;Carnaval
3350419200;terça-feira;Carnaval
3354307200;sexta-feira;Paixão de Cristo
3354652800;terça-feira;Tiradentes
3355516800;sexta-feira;Dia do Trabalho
3359664000;quinta-feira;Corpus Christi
3366662400;segunda-feira;Independência do Brasil
3369686400;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3371500800;segunda-feira;Finados
3372624000;domingo;Proclamação da República
3373056000;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
3376080000;sexta-feira;Natal
3376684800;sexta-feira;Confraternização Universal
3381177600;segunda-feira;Carnaval
3381264000;terça-feira;Carnaval
3385152000;sexta-feira;Paixão de Cristo
3386188800;quarta-feira;Tiradentes
3387052800;sábado;Dia do Trabalho
3390508800;quinta-feira;Corpus Christi
3398198400;terça-feira;Independência do Brasil
3401222400;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3403036800;terça-feira;Finados
3404160000;segunda-feira;Proclamação da República
3404592000;sábado;Dia Nacional de Zumbi e da Consciência Negra
3407616000;sábado;Natal
3408220800;sábado;Confraternização Universal
3412022400;segunda-feira;Carnaval
3412108800;terça-feira;Carnaval
3415996800;sexta-feira;Paixão de Cristo
3417724800;quinta-feira;Tiradentes
3418588800;domingo;Dia do Trabalho
3421353600;quinta-feira;Corpus Christi
3429734400;quarta-feira;Independência do Brasil
3432758400;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3434572800;quarta-feira;Finados
3435696000;terça-feira;Proclamação da República
3436128000;domingo;Dia Nacional de Zumbi e da Consciência Negra
3439152000;domingo;Natal
3439756800;domingo;Confraternização Universal
3445286400;segunda-feira;Carnaval
3445372800;terça-feira;Carnaval
3449260800;sexta-feira;Paixão de Cristo
3449260800;sexta-feira;Tiradentes
3450124800;segunda-feira;Dia do Trabalho
3454617600;quinta-feira;Corpus Christi
3461270400;quinta-feira;Independência do Brasil
3464294400;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3466108800;quinta-feira;Finados
3467232000;quarta-feira;Proclamação da República
3467664000;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
3470688000;segunda-feira;Natal
3471292800;segunda-feira;Confraternização Universal
3475526400;segunda-feira;Carnaval
3475612800;terça-feira;Carnaval
3479500800;sexta-feira;Paixão de Cristo
3480883200;domingo;Tiradentes
3481747200;quarta-feira;Dia do Trabalho
3484857600;quinta-feira;Corpus Christi
3492892800;sábado;Independência do Brasil
3495916800;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
3497731200;sábado;Finados
3498854400;sexta-feira;Proclamação da República
3499286400;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
3502310400;quarta-feira;Natal
3502915200;quarta-feira;Confraternização Universal
3506371200;segunda-feira;Carnaval
3506457600;terça-feira;Carnaval
3510345600;sexta-feira;Paixão de Cristo
3512419200;segunda-feira;Tiradentes
3513283200;quinta-feira;Dia do Trabalho
3515702400;quinta-feira;Corpus Christi
3524428800;domingo;Independência do Brasil
3527452800;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
3529267200;domingo;Finados
3530390400;sábado;Proclamação da República
3530822400;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
3533846400;quinta-feira;Natal
3534451200;quinta-feira;Confraternização Universal
3539635200;segunda-feira;Carnaval
3539721600;terça-feira;Carnaval
3543609600;sexta-feira;Paixão de Cristo
3543955200;terça-feira;Tiradentes
3544819200;sexta-feira;Dia do Trabalho
3548966400;quinta-feira;Corpus Christi
3555964800;segunda-feira;Independência do Brasil
3558988800;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3560803200;segunda-feira;Finados
3561926400;domingo;Proclamação da República
3562358400;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
3565382400;sexta-feira;Natal
3565987200;sexta-feira;Confraternização Universal
3569875200;segunda-feira;Carnaval
3569961600;terça-feira;Carnaval
3573849600;sexta-feira;Paixão de Cristo
3575491200;quarta-feira;Tiradentes
3576355200;sábado;Dia do Trabalho
3579206400;quinta-feira;Corpus Christi
3587500800;terça-feira;Independência do Brasil
3590524800;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3592339200;terça-feira;Finados
3593462400;segunda-feira;Proclamação da República
3593894400;sábado;Dia Nacional de Zumbi e da Consciência Negra
3596918400;sábado;Natal
3597523200;sábado;Confraternização Universal
3600720000;segunda-feira;Carnaval
3600806400;terça-feira;Carnaval
3604694400;sexta-feira;Paixão de Cristo
3607113600;sexta-feira;Tiradentes
3607977600;segunda-feira;Dia do Trabalho
3610051200;quinta-feira;Corpus Christi
3619123200;quinta-feira;Independência do Brasil
3622147200;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3623961600;quinta-feira;Finados
3625084800;quarta-feira;Proclamação da República
3625516800;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
3628540800;segunda-feira;Natal
3629145600;segunda-feira;Confraternização Universal
3633984000;segunda-feira;Carnaval
3634070400;terça-feira;Carnaval
3637958400;sexta-feira;Paixão de Cristo
3638649600;sábado;Tiradentes
3639513600;terça-feira;Dia do Trabalho
3643315200;quinta-feira;Corpus Christi
3650659200;sexta-feira;Independência do Brasil
3653683200;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3655497600;sexta-feira;Finados
3656620800;quinta-feira;Proclamação da República
3657052800;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
3660076800;terça-feira;Natal
3660681600;terça-feira;Confraternização Universal
3664224000;segunda-feira;Carnaval
3664310400;terça-feira;Carnaval
3668198400;sexta-feira;Paixão de Cristo
3670185600;domingo;Tiradentes
3671049600;quarta-feira;Dia do Trabalho
3673555200;quinta-feira;Corpus Christi
3682195200;sábado;Independência do Brasil
3685219200;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
3687033600;sábado;Finados
3688156800;sexta-feira;Proclamação da República
3688588800;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
3691612800;quarta-feira;Natal
3692217600;quarta-feira;Confraternização Universal
3697488000;segunda-feira;Carnaval
3697574400;terça-feira;Carnaval
3701462400;sexta-feira;Paixão de Cristo
3701721600;segunda-feira;Tiradentes
3702585600;quinta-feira;Dia do Trabalho
3706819200;quinta-feira;Corpus Christi
3713731200;domingo;Independência do Brasil
3716755200;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
3718569600;domingo;Finados
3719692800;sábado;Proclamação da República
3720124800;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
3723148800;quinta-feira;Natal
3723753600;quinta-feira;Confraternização Universal
3728332800;segunda-feira;Carnaval
3728419200;terça-feira;Carnaval
3732307200;sexta-feira;Paixão de Cristo
3733344000;quarta-feira;Tiradentes
3734208000;sábado;Dia do Trabalho
3737664000;quinta-feira;Corpus Christi
3745353600;terça-feira;Independência do Brasil
3748377600;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3750192000;terça-feira;Finados
3751315200;segunda-feira;Proclamação da República
3751747200;sábado;Dia Nacional de Zumbi e da Consciência Negra
3754771200;sábado;Natal
3755376000;sábado;Confraternização Universal
3759177600;segunda-feira;Carnaval
3759264000;terça-feira;Carnaval
3763152000;sexta-feira;Paixão de Cristo
3764880000;quinta-feira;Tiradentes
3765744000;domingo;Dia do Trabalho
3768508800;quinta-feira;Corpus Christi
3776889600;quarta-feira;Independência do Brasil
3779913600;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3781728000;quarta-feira;Finados
3782851200;terça-feira;Proclamação da República
3783283200;domingo;Dia Nacional de Zumbi e da Consciência Negra
3786307200;domingo;Natal
3786912000;domingo;Confraternização Universal
3791836800;segunda-feira;Carnaval
3791923200;terça-feira;Carnaval
3795811200;sexta-feira;Paixão de Cristo
3796416000;sexta-feira;Tiradentes
3797280000;segunda-feira;Dia do Trabalho
3801168000;quinta-feira;Corpus Christi
3808425600;quinta-feira;Independência do Brasil
3811449600;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3813264000;quinta-feira;Finados
3814387200;quarta-feira;Proclamação da República
3814819200;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
3817843200;segunda-feira;Natal
3818448000;segunda-feira;Confraternização Universal
3822681600;segunda-feira;Carnaval
3822768000;terça-feira;Carnaval
3826656000;sexta-feira;Paixão de Cristo
3827952000;sábado;Tiradentes
3828816000;terça-feira;Dia do Trabalho
3832012800;quinta-feira;Corpus Christi
3839961600;sexta-feira;Independência do Brasil
3842985600;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3844800000;sexta-feira;Finados
3845923200;quinta-feira;Proclamação da República
3846355200;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
3849379200;terça-feira;Natal
3849984000;terça-feira;Confraternização Universal
3853526400;segunda-feira;Carnaval
3853612800;terça-feira;Carnaval
3857500800;sexta-feira;Paixão de Cristo
3859574400;segunda-feira;Tiradentes
3860438400;quinta-feira;Dia do Trabalho
3862857600;quinta-feira;Corpus Christi
3871584000;domingo;Independência do Brasil
3874608000;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
3876422400;domingo;Finados
3877545600;sábado;Proclamação da República
3877977600;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
3881001600;quinta-feira;Natal
3881606400;quinta-feira;Confraternização Universal
3886185600;segunda-feira;Carnaval
3886272000;terça-feira;Carnaval
3890160000;sexta-feira;Paixão de Cristo
3891110400;terça-feira;Tiradentes
3891974400;sexta-feira;Dia do Trabalho
3895516800;quinta-feira;Corpus Christi
3903120000;segunda-feira;Independência do Brasil
3906144000;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3907958400;segunda-feira;Finados
3909081600;domingo;Proclamação da República
3909513600;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
3912537600;sexta-feira;Natal
3913142400;sexta-feira;Confraternização Universal
3917030400;segunda-feira;Carnaval
3917116800;terça-feira;Carnaval
3921004800;sexta-feira;Paixão de Cristo
3922646400;quarta-feira;Tiradentes
3923510400;sábado;Dia do Trabalho
3926361600;quinta-feira;Corpus Christi
3934656000;terça-feira;Independência do Brasil
3937680000;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3939494400;terça-feira;Finados
3940617600;segunda-feira;Proclamação da República
3941049600;sábado;Dia Nacional de Zumbi e da Consciência Negra
3944073600;sábado;Natal
3944678400;sábado;Confraternização Universal
3950294400;segunda-feira;Carnaval
3950380800;terça-feira;Carnaval
3954182400;quinta-feira;Tiradentes
3954268800;sexta-feira;Paixão de Cristo
3955046400;domingo;Dia do Trabalho
3959625600;quinta-feira;Corpus Christi
3966192000;quarta-feira;Independência do Brasil
3969216000;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
3971030400;quarta-feira;Finados
3972153600;terça-feira;Proclamação da República
3972585600;domingo;Dia Nacional de Zumbi e da Consciência Negra
3975609600;domingo;Natal
3976214400;domingo;Confraternização Universal
3981139200;segunda-feira;Carnaval
3981225600;terça-feira;Carnaval
3985113600;sexta-feira;Paixão de Cristo
3985804800;sábado;Tiradentes
3986668800;terça-feira;Dia do Trabalho
3990470400;quinta-feira;Corpus Christi
3997814400;sexta-feira;Independência do Brasil
4000838400;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
4002652800;sexta-feira;Finados
4003776000;quinta-feira;Proclamação da República
4004208000;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
4007232000;terça-feira;Natal
4007836800;terça-feira;Confraternização Universal
4011379200;segunda-feira;Carnaval
4011465600;terça-feira;Carnaval
4015353600;sexta-feira;Paixão de Cristo
4017340800;domingo;Tiradentes
4018204800;quarta-feira;Dia do Trabalho
4020710400;quinta-feira;Corpus Christi
4029350400;sábado;Independência do Brasil
4032374400;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
4034188800;sábado;Finados
4035312000;sexta-feira;Proclamação da República
4035744000;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
4038768000;quarta-feira;Natal
4039372800;quarta-feira;Confraternização Universal
4044643200;segunda-feira;Carnaval
4044729600;terça-feira;Carnaval
4048617600;sexta-feira;Paixão de Cristo
4048876800;segunda-feira;Tiradentes
4049740800;quinta-feira;Dia do Trabalho
4053974400;quinta-feira;Corpus Christi
4060886400;domingo;Independência do Brasil
4063910400;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
4065724800;domingo;Finados
4066848000;sábado;Proclamação da República
4067280000;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
4070304000;quinta-feira;Natal
4070908800;quinta-feira;Confraternização Universal 
4075488000;segunda-feira;Carnaval
4075574400;terça-feira;Carnaval
4079462400;sexta-feira;Paixão de Cristo
4080412800;terça-feira;Tiradentes
4081276800;sexta-feira;Dia do Trabalho
4084819200;quinta-feira;Corpus Christi
4092422400;segunda-feira;Independência do Brasil
4095446400;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
4097260800;segunda-feira;Finados
4098384000;domingo;Proclamação da República
4098816000;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
